Date,ABBIGERE,AGARA,AKSHAYANAGARA,ALLALASANDRA
19-08-2011,1955,88,1763,2748
20-08-2011,1958,88,1758,2748
21-08-2011,2008,104,1820,2807
22-08-2011,2033,113,1833,2822
23-08-2011,2059,122,1838,2820
24-08-2011,2082,130,1843,2812
25-08-2011,2134,133,1903,2838
26-08-2011,2158,133,1925,2845
27-08-2011,2193,131,1953,2862
28-08-2011,2211,127,1970,2878
29-08-2011,2233,126,1980,2875
30-08-2011,2257,125,1992,2863
31-08-2011,2285,124,2004,2853
01-09-2011,2312,123,2018,2845
02-09-2011,2340,122,2033,2838
03-09-2011,2367,121,2047,2827
04-09-2011,2393,120,2061,2820
05-09-2011,2418,119,2076,2812
06-09-2011,2447,118,2090,2825
07-09-2011,2472,117,2104,2817
08-09-2011,2489,116,2122,2807
09-09-2011,2501,116,2148,2802
10-09-2011,2515,116,2175,2791
11-09-2011,2527,116,2194,2776
12-09-2011,2539,114,2210,2763
13-09-2011,2565,116,2227,2769
14-09-2011,2621,116,2270,2757
15-09-2011,2663,116,2300,2746
16-09-2011,2706,116,2361,2766
17-09-2011,2736,117,2424,2812
18-09-2011,2764,118,2469,2823
19-09-2011,2779,118,2497,2815
20-09-2011,2889,123,2565,2875
21-09-2011,2921,137,2628,2903
22-09-2011,2944,149,2669,2903
23-09-2011,2970,156,2707,2889
24-09-2011,2992,154,2743,2875
25-09-2011,3012,151,2773,2859
26-09-2011,3031,148,2808,2848
27-09-2011,3051,145,2835,2838
28-09-2011,3064,141,2862,2827
29-09-2011,3077,137,2890,2814
30-09-2011,3073,139,2922,2804
01-10-2011,3054,140,2956,2792
02-10-2011,3031,143,2966,2779
03-10-2011,3058,145,2978,2766
04-10-2011,3041,149,2990,2753
05-10-2011,3015,156,3002,2740
06-10-2011,2999,169,3014,2735
07-10-2011,2982,188,3030,2722
08-10-2011,2963,206,3034,2710
09-10-2011,2947,226,3034,2697
10-10-2011,2931,245,3040,2685
11-10-2011,2915,264,3044,2672
12-10-2011,2899,284,3054,2663
13-10-2011,2870,304,3058,2648
14-10-2011,2854,325,3060,2635
15-10-2011,2826,346,3060,2628
16-10-2011,2789,368,3060,2670
17-10-2011,2767,391,3058,2657
18-10-2011,2755,414,3056,2644
19-10-2011,2733,433,3056,2653
20-10-2011,2712,450,3056,2641
21-10-2011,2684,462,3054,2628
22-10-2011,2657,479,3054,2625
23-10-2011,2672,496,3056,2625
24-10-2011,2663,513,3088,2633
25-10-2011,2648,525,3106,2643
26-10-2011,2648,540,3120,2658
27-10-2011,2651,558,3131,2680
28-10-2011,2639,574,3139,2680
29-10-2011,2639,597,3104,2675
30-10-2011,2651,631,3133,2703
31-10-2011,2663,657,3100,2708
01-11-2011,2666,684,3062,2735
02-11-2011,2693,709,3068,2769
03-11-2011,2715,741,3070,2786
04-11-2011,2770,774,3096,2807
05-11-2011,2770,828,3150,2882
06-11-2011,2786,864,3100,2986
07-11-2011,2752,864,3074,2827
08-11-2011,2657,864,3056,2776
09-11-2011,2615,864,3040,2728
10-11-2011,2533,861,3032,2715
11-11-2011,2469,861,3022,2690
12-11-2011,2421,872,3018,2675
13-11-2011,2376,878,3008,2658
14-11-2011,2340,878,3006,2640
15-11-2011,2320,878,3002,2625
16-11-2011,2298,878,3000,2610
17-11-2011,2287,878,3000,2596
18-11-2011,2304,878,3004,2653
19-11-2011,2298,871,3004,2678
20-11-2011,2282,861,3004,2678
21-11-2011,2265,847,3006,2673
22-11-2011,2260,829,3012,2668
23-11-2011,2252,813,3018,2658
24-11-2011,2252,795,3024,2648
25-11-2011,2293,782,3052,2678
26-11-2011,2356,791,3100,2753
27-11-2011,2539,847,3147,2771
28-11-2011,2530,854,3062,2653
29-11-2011,2449,837,3038,2618
30-11-2011,2469,836,3032,2653
01-12-2011,2484,836,3006,2673
02-12-2011,2498,836,2982,2678
03-12-2011,2530,836,2958,2685
04-12-2011,2553,836,2930,2693
05-12-2011,2571,836,2898,2693
06-12-2011,2586,836,2864,2693
07-12-2011,2598,836,2849,2693
